ABL1	HGNC:76	Abl1	ENSMUSG00000026842
HSPA2	HGNC:5235	Hspa2	ENSMUSG00000059970
HUS1	HGNC:5309	Hus1	ENSMUSG00000020413
ING4	HGNC:19423	Ing4	ENSMUSG00000030330
INHA	HGNC:6065	Inha	ENSMUSG00000032968
INHBA	HGNC:6066	Inhba	ENSMUSG00000041324
JMY	HGNC:28916	Jmy	ENSMUSG00000021690
KAT2B	HGNC:8638	Kat2b	ENSMUSG00000000708
KATNA1	HGNC:6216	Katna1	ENSMUSG00000019794
KHDRBS1	HGNC:18116	Khdrbs1	ENSMUSG00000028790
KIF11	HGNC:6388	Kif11	ENSMUSG00000012443
KIF15	HGNC:17273	Kif15	ENSMUSG00000036768
KIF22	HGNC:6391	Kif22	ENSMUSG00000030677
KIF23	HGNC:6392	Kif23	ENSMUSG00000032254
KIF2C	HGNC:6393	Kif2c	ENSMUSG00000028678
KNTC1	HGNC:17255	Kntc1	ENSMUSG00000029414
KPNA2	HGNC:6395	Kpna2	ENSMUSG00000018362
KRT7	HGNC:6445	Krt7	ENSMUSG00000023039
LATS1	HGNC:6514	Lats1	ENSMUSG00000040021
LATS2	HGNC:6515	Lats2	ENSMUSG00000021959
LIG3	HGNC:6600	Lig3	ENSMUSG00000020697
MAD2L1	HGNC:6763	Mad2l1	ENSMUSG00000029910
MAD2L2	HGNC:6764	Mad2l2	ENSMUSG00000029003
MADD	HGNC:6766	Madd	ENSMUSG00000040687
MAP2K6	HGNC:6846	Map2k6	ENSMUSG00000020623
MAP3K11	HGNC:6850	Map3k11	ENSMUSG00000004054
MAPK12	HGNC:6874	Mapk12	ENSMUSG00000022610
MCM2	HGNC:6944	Mcm2	ENSMUSG00000002870
MDM4	HGNC:6974	Mdm4	ENSMUSG00000054387
MFN2	HGNC:16877	Mfn2	ENSMUSG00000029020
MLF1	HGNC:7125	Mlf1	ENSMUSG00000048416
MNAT1	HGNC:7181	Mnat1	ENSMUSG00000021103
MPHOSPH6	HGNC:7214	Mphosph6	ENSMUSG00000031843
MPHOSPH9	HGNC:7215	Mphosph9	ENSMUSG00000038126
MSH4	HGNC:7327	Msh4	ENSMUSG00000005493
MSH5	HGNC:7328	Msh5	ENSMUSG00000007035
MYC	HGNC:7553	Myc	ENSMUSG00000022346
MYH10	HGNC:7568	Myh10	ENSMUSG00000020900
MYO16	HGNC:29822	Myo16	ENSMUSG00000039057
NAE1	HGNC:621	Nae1	ENSMUSG00000031878
NASP	HGNC:7644	Nasp	ENSMUSG00000028693
NBN	HGNC:7652	Nbn	ENSMUSG00000028224
NCAPH	HGNC:1112	Ncaph	ENSMUSG00000034906
NDC80	HGNC:16909	Ndc80	ENSMUSG00000024056
NDE1	HGNC:17619	Nde1	ENSMUSG00000022678
NEK11	HGNC:18593	Nek11	ENSMUSG00000035032
NEK2	HGNC:7745	Nek2	ENSMUSG00000026622
NEK6	HGNC:7749	Nek6	ENSMUSG00000026749
NOLC1	HGNC:15608	Nolc1	ENSMUSG00000015176
NOTCH2	HGNC:7882	Notch2	ENSMUSG00000027878
NPM1	HGNC:7910	Npm1	ENSMUSG00000057113
NPM2	HGNC:7930	Npm2	ENSMUSG00000047911
NUMA1	HGNC:8059	Numa1	ENSMUSG00000066306
NUSAP1	HGNC:18538	Nusap1	ENSMUSG00000027306
PA2G4	HGNC:8550	Pa2g4	ENSMUSG00000025364
PAFAH1B1	HGNC:8574	Pafah1b1	ENSMUSG00000020745
PAM	HGNC:8596	Pam	ENSMUSG00000026335
PAPD7	HGNC:16705	Papd7	ENSMUSG00000034575
PBRM1	HGNC:30064	Pbrm1	ENSMUSG00000042323
PCBP4	HGNC:8652	Pcbp4	ENSMUSG00000023495
PDS5B	HGNC:20418	Pds5b	ENSMUSG00000034021
PFDN1	HGNC:8866	Pfdn1	ENSMUSG00000024346
PIM2	HGNC:8987	Pim2	ENSMUSG00000031155
PIN1	HGNC:8988	Pin1	ENSMUSG00000032171
PKMYT1	HGNC:29650	Pkmyt1	ENSMUSG00000023908
PLAGL1	HGNC:9046	Plagl1	ENSMUSG00000019817
PLK1	HGNC:9077	Plk1	ENSMUSG00000030867
PML	HGNC:9113	Pml	ENSMUSG00000036986
POLA1	HGNC:9173	Pola1	ENSMUSG00000006678
POLD1	HGNC:9175	Pold1	ENSMUSG00000038644
POLE	HGNC:9177	Pole	ENSMUSG00000007080
PPM1G	HGNC:9278	Ppm1g	ENSMUSG00000029147
PPP1R13B	HGNC:14950	Ppp1r13b	ENSMUSG00000021285
PPP1R15A	HGNC:14375	Ppp1r15a	ENSMUSG00000040435
PPP1R9B	HGNC:9298	Ppp1r9b	ENSMUSG00000038976
PPP5C	HGNC:9322	Ppp5c	ENSMUSG00000003099
PPP6C	HGNC:9323	Ppp6c	ENSMUSG00000026753
PRC1	HGNC:9341	Prc1	ENSMUSG00000038943
PRMT5	HGNC:10894	Prmt5	ENSMUSG00000023110
PRUNE2	HGNC:25209	Prune2	ENSMUSG00000039126
PTEN	HGNC:9588	Pten	ENSMUSG00000013663
PTPRC	HGNC:9666	Ptprc	ENSMUSG00000026395
RABGAP1	HGNC:17155	Rabgap1	ENSMUSG00000035437
RACGAP1	HGNC:9804	Racgap1	ENSMUSG00000023015
RAD1	HGNC:9806	Rad1	ENSMUSG00000022248
RAD17	HGNC:9807	Rad17	ENSMUSG00000021635
RAD21	HGNC:9811	Rad21	ENSMUSG00000022314
RAD50	HGNC:9816	Rad50	ENSMUSG00000020380
RAD51	HGNC:9817	Rad51	ENSMUSG00000027323
RAD51B	HGNC:9822	Rad51b	ENSMUSG00000059060
RAD51D	HGNC:9823	Rad51d	ENSMUSG00000018841
RAD52	HGNC:9824	Rad52	ENSMUSG00000030166
RAD54B	HGNC:17228	Rad54b	ENSMUSG00000078773
RAD54L	HGNC:9826	Rad54l	ENSMUSG00000028702
RAD9A	HGNC:9827	Rad9a	ENSMUSG00000024824
RAN	HGNC:9846	Ran	ENSMUSG00000029430
RASSF1	HGNC:9882	Rassf1	ENSMUSG00000010067
RB1	HGNC:9884	Rb1	ENSMUSG00000022105
RBBP8	HGNC:9891	Rbbp8	ENSMUSG00000041238
RCC1	HGNC:1913	Rcc1	ENSMUSG00000028896
REC8	HGNC:16879	Rec8	ENSMUSG00000002324
RHOB	HGNC:668	Rhob	ENSMUSG00000054364
RINT1	HGNC:21876	Rint1	ENSMUSG00000028999
RPRM	HGNC:24201	Rprm	ENSMUSG00000075334
RUNX3	HGNC:10473	Runx3	ENSMUSG00000070691
SAC3D1	HGNC:30179	Sac3d1	ENSMUSG00000024790
SASS6	HGNC:25403	Sass6	ENSMUSG00000027959
SERTAD1	HGNC:17932	Sertad1	ENSMUSG00000008384
SESN1	HGNC:21595	Sesn1	ENSMUSG00000038332
SH3BP4	HGNC:10826	Sh3bp4	ENSMUSG00000036206
SIK1	HGNC:11142	Sik1	ENSMUSG00000024042
SKP2	HGNC:10901	Skp2	ENSMUSG00000054115
SMAD3	HGNC:6769	Smad3	ENSMUSG00000032402
SMC1A	HGNC:11111	Smc1a	ENSMUSG00000041133
SMC3	HGNC:2468	Smc3	ENSMUSG00000024974
SMC4	HGNC:14013	Smc4	ENSMUSG00000034349
SPDYA	HGNC:30613	Spdya	ENSMUSG00000052525
SPHK1	HGNC:11240	Sphk1	ENSMUSG00000061878
SPO11	HGNC:11250	Spo11	ENSMUSG00000005883
SSSCA1	HGNC:11328	Sssca1	ENSMUSG00000079478
STAG3	HGNC:11356	Stag3	ENSMUSG00000036928
STK11	HGNC:11389	Stk11	ENSMUSG00000003068
STMN1	HGNC:6510	Stmn1	ENSMUSG00000028832
STRN3	HGNC:15720	Strn3	ENSMUSG00000020954
SUGT1	HGNC:16987	Sugt1	ENSMUSG00000022024
SUN2	HGNC:14210	Sun2	ENSMUSG00000042524
SYCP1	HGNC:11487	Sycp1	ENSMUSG00000027855
TAF1	HGNC:11535	Taf1	ENSMUSG00000031314
TARDBP	HGNC:11571	Tardbp	ENSMUSG00000041459
TBRG1	HGNC:29551	Tbrg1	ENSMUSG00000011114
TBRG4	HGNC:17443	Tbrg4	ENSMUSG00000000384
TBX3	HGNC:11602	Tbx3	ENSMUSG00000018604
TGFA	HGNC:11765	Tgfa	ENSMUSG00000029999
TGFB1	HGNC:11766	Tgfb1	ENSMUSG00000002603
TGFB2	HGNC:11768	Tgfb2	ENSMUSG00000039239
TIMELESS	HGNC:11813	Timeless	ENSMUSG00000039994
TIPIN	HGNC:30750	Tipin	ENSMUSG00000032397
TMEM8B	HGNC:21427	Tmem8b	ENSMUSG00000078716
TOP3A	HGNC:11992	Top3a	ENSMUSG00000002814
TP53	HGNC:11998	Trp53	ENSMUSG00000059552
TP53BP2	HGNC:12000	Trp53bp2	ENSMUSG00000026510
TPD52L1	HGNC:12006	Tpd52l1	ENSMUSG00000000296
TPX2	HGNC:1249	Tpx2	ENSMUSG00000027469
TRIAP1	HGNC:26937	Triap1	ENSMUSG00000029535
TTK	HGNC:12401	Ttk	ENSMUSG00000038379
TTN	HGNC:12403	Ttn	ENSMUSG00000051747
TUBE1	HGNC:20775	Tube1	ENSMUSG00000019845
TUBG1	HGNC:12417	Tubg1	ENSMUSG00000035198
UBB	HGNC:12463	Ubb	ENSMUSG00000019505
UBE2C	HGNC:15937	Ube2c	ENSMUSG00000001403
UHMK1	HGNC:19683	Uhmk1	ENSMUSG00000026667
UHRF2	HGNC:12557	Uhrf2	ENSMUSG00000024817
UPF1	HGNC:9962	Upf1	ENSMUSG00000058301
USH1C	HGNC:12597	Ush1c	ENSMUSG00000030838
USP16	HGNC:12614	Usp16	ENSMUSG00000025616
XPC	HGNC:12816	Xpc	ENSMUSG00000030094
XRCC2	HGNC:12829	Xrcc2	ENSMUSG00000028933
ZBTB17	HGNC:12936	Zbtb17	ENSMUSG00000006215
ZW10	HGNC:13194	Zw10	ENSMUSG00000032264
ZWINT	HGNC:13195	Zwint	ENSMUSG00000019923
