ID	Gene	Control_0	Control_1	Brg1_iko_0	Brg1_iko_1	status	Average_control	Average_Brg1_iKO	log2.fold_change.	test_stat	p_value	q_value	significant
XLOC_001796	Tspan8	0.303231	0.17141	0.0648339	0	NOTEST	0.23732	0.032417	-2.87202	0	1	1	no
XLOC_008258	Atp13a5	0	0.636792	0	0.0874603	NOTEST	0.318396	0.0437301	-2.86412	0	1	1	no
XLOC_015953	Stbd1	0.242434	1.11738	0.0475922	0.141535	NOTEST	0.679907	0.0945638	-2.84598	0	1	1	no
XLOC_004460	Plekhg3	0.397028	0.225899	0.0202486	0.0689532	NOTEST	0.311463	0.0446009	-2.80392	0	1	1	no
XLOC_018168	Kcna5	0.66687	0.68631	0.176787	0.025922	NOTEST	0.67659	0.101355	-2.73887	0	1	1	no
XLOC_010946	Sec31b	0.243501	0.126408	0.0568687	0	NOTEST	0.184955	0.0284344	-2.70146	0	1	1	no
XLOC_008296	Parp14	0.115578	0.257234	0.0249418	0.0324584	NOTEST	0.186406	0.0287001	-2.69932	0	1	1	no
XLOC_020368	Nkx1-2	0.120377	0.234897	0	0.0549332	NOTEST	0.177637	0.0274666	-2.69318	0	1	1	no
XLOC_017204	Gimap9	0.192392	0.299765	0.0761797	0	NOTEST	0.246079	0.0380899	-2.69164	0	1	1	no
XLOC_020385	Ebf3	0.0987076	0.0154056	0	0.017689	NOTEST	0.0570566	0.00884451	-2.68954	0	1	1	no
XLOC_000345	Cdh7	0.251505	0.170077	0.0461057	0.0196572	NOTEST	0.210791	0.0328815	-2.68047	0	1	1	no
XLOC_004760	Atp6v1c2	0.914382	0.584226	0.0803159	0.153937	NOTEST	0.749304	0.117126	-2.67748	0	1	1	no
XLOC_002030	Gpr6	2.52724	3.32804	0.334808	0.580852	OK	2.92764	0.45783	-2.67685	-1.5327	0.08295	0.790932	no
XLOC_009145	Tcte2	0.561955	0.221514	0	0.123799	NOTEST	0.391734	0.0618993	-2.66188	0	1	1	no
XLOC_022854	Col6a4	0	0.211855	0.0134002	0.0208792	NOTEST	0.105928	0.0171397	-2.62766	0	1	1	no
XLOC_006434	Itgbl1	0.475828	0.607399	0.176125	0	NOTEST	0.541614	0.0880626	-2.62066	0	1	1	no
XLOC_011686	Slc24a5	0	0.625623	0	0.103523	NOTEST	0.312811	0.0517615	-2.59534	0	1	1	no
XLOC_003013	Tbx4	0.103654	0.400346	0.0608695	0.0230036	NOTEST	0.252	0.0419366	-2.58714	0	1	1	no
XLOC_010788	Ms4a1	0	0.229686	0	0.0382374	NOTEST	0.114843	0.0191187	-2.58661	0	1	1	no
XLOC_009136	Pnldc1	0	0.376849	0.0631466	0	NOTEST	0.188424	0.0315733	-2.57721	0	1	1	no
XLOC_019319	Mrgprf	0.0476961	0.277132	0.0553899	0	NOTEST	0.162414	0.0276949	-2.55198	0	1	1	no
XLOC_010618	Vwa2	0.0517464	0.0811966	0	0.0227217	NOTEST	0.0664715	0.0113608	-2.54867	0	1	1	no
XLOC_002004	Nkain2	0.172042	0.146913	0	0.0550586	NOTEST	0.159478	0.0275293	-2.53431	0	1	1	no
XLOC_007304	Rxfp3	0	0.264386	0.0457209	0	NOTEST	0.132193	0.0228604	-2.53172	0	1	1	no
XLOC_013034	Sycp2	0.0568844	0.0219141	0.013712	0	NOTEST	0.0393992	0.00685599	-2.52273	0	1	1	no
XLOC_008681	Tekt4	0.225416	0.193698	0	0.0731522	NOTEST	0.209557	0.0365761	-2.51837	0	1	1	no
XLOC_009883	Adamts19	0.347495	0.251603	0.0557899	0.0495529	NOTEST	0.299549	0.0526714	-2.5077	0	1	1	no
XLOC_006755	Pnoc	0.0916314	0.153727	0	0.0438892	NOTEST	0.122679	0.0219446	-2.48295	0	1	1	no
XLOC_023907	Xkrx	0.0917032	0.0278147	0.0215227	0	NOTEST	0.059759	0.0107614	-2.47329	0	1	1	no
XLOC_003710	Alox12	0	0.351587	0.0636724	0	NOTEST	0.175794	0.0318362	-2.46514	0	1	1	no
XLOC_001528	Ctnna3	0.359619	0.100433	0	0.083655	NOTEST	0.230026	0.0418275	-2.45927	0	1	1	no
XLOC_004484	Rgs6	0.452274	0	0	0.0826127	NOTEST	0.226137	0.0413063	-2.45276	0	1	1	no
XLOC_005617	Hist1h3e	0	4.49801	0	0.822253	NOTEST	2.24901	0.411126	-2.45163	0	1	1	no
XLOC_009240	Baiap3	0.146179	0.386779	0.09752	0	NOTEST	0.266479	0.04876	-2.45025	0	1	1	no
XLOC_005039	Rtl1	0	0.0973442	0.0183121	0	NOTEST	0.0486721	0.00915607	-2.4103	0	1	1	no
XLOC_003777	Doc2b	0	0.0931816	0	0.0176383	NOTEST	0.0465908	0.00881913	-2.40134	0	1	1	no
XLOC_003288	Galr2	0.337977	0.897939	0	0.23619	NOTEST	0.617958	0.118095	-2.38756	0	1	1	no
XLOC_015184	Cyp2j13	0.0762616	0	0	0.0146066	NOTEST	0.0381308	0.00730332	-2.38433	0	1	1	no
XLOC_014175	Ptgfr	0	0.085469	0.0164211	0	NOTEST	0.0427345	0.00821056	-2.37985	0	1	1	no
XLOC_007213	Dnajc22	0.663003	0.138994	0.154397	0	NOTEST	0.400998	0.0771986	-2.37695	0	1	1	no
XLOC_012686	Rhov	0.717912	0.573106	0.248982	0	NOTEST	0.645509	0.124491	-2.3744	0	1	1	no
XLOC_022384	Ccdc67	0.100606	0.0552223	0.0300789	0	NOTEST	0.0779142	0.0150394	-2.37314	0	1	1	no
XLOC_022590	Nxpe2	0.0398714	0.326895	0.0709753	0	NOTEST	0.183383	0.0354877	-2.36947	0	1	1	no
XLOC_019619	Mia	2.00614	1.59747	0.275863	0.421583	OK	1.8018	0.348723	-2.36929	-1.10148	0.15725	0.872802	no
XLOC_013214	Ptx3	2.10171	3.97418	0.944444	0.23575	OK	3.03795	0.590097	-2.36407	-1.8503	0.04705	0.660612	no
XLOC_010930	Loxl4	0.111903	0.0312223	0.0164593	0.0114575	NOTEST	0.0715627	0.0139584	-2.35807	0	1	1	no
XLOC_005144	Hist1h2bk	3.62848	0.741761	0.447916	0.409615	OK	2.18512	0.428765	-2.34945	-0.977394	0.26475	0.944572	no
XLOC_014927	Slc26a7	0.176434	0.0328837	0.0413178	0	NOTEST	0.104659	0.0206589	-2.34086	0	1	1	no
XLOC_000384	Slc45a3	0.220738	0.251774	0.0566677	0.0374852	NOTEST	0.236256	0.0470765	-2.32728	0	1	1	no
XLOC_023700	Mtap7d3	0.391525	0.229534	0.0359272	0.0880211	NOTEST	0.310529	0.0619742	-2.32499	0	1	1	no
XLOC_002190	Adamtsl5	0	0.170208	0.0340219	0	NOTEST	0.0851039	0.017011	-2.32276	0	1	1	no
XLOC_014466	Ube2u	0.0506999	0.423446	0	0.0950516	NOTEST	0.237073	0.0475258	-2.31855	0	1	1	no
XLOC_008876	Rnf39	2.32747	0.930708	0.251979	0.412774	OK	1.62909	0.332377	-2.29318	-1.29719	0.1141	0.853221	no
XLOC_006991	Nov	1.455	0.535366	0.0896052	0.319695	OK	0.995185	0.20465	-2.28181	-1.79294	0.0203	0.521006	no
XLOC_018431	Mill2	0.213675	0.596542	0.166902	0	NOTEST	0.405109	0.0834512	-2.2793	0	1	1	no
XLOC_002716	Trim17	0.0591287	0.175509	0	0.048614	NOTEST	0.117319	0.024307	-2.27099	0	1	1	no
XLOC_021274	Helt	1.42402	16.1135	2.02523	1.68567	OK	8.76875	1.85545	-2.2406	-2.5652	0.0027	0.198623	no
XLOC_002771	Pirt	0.545622	0.45354	0.108147	0.103672	NOTEST	0.499581	0.105909	-2.23789	0	1	1	no
XLOC_015994	Spp1	2.1114	11.5832	1.53688	1.39465	OK	6.84727	1.46577	-2.22388	-2.51452	0.00275	0.198833	no
XLOC_001765	Mgat4c	0	0.209115	0.025136	0.0198359	NOTEST	0.104558	0.0224859	-2.2172	0	1	1	no
XLOC_014567	Ptch2	1.22288	0.49304	0.197049	0.172068	OK	0.857962	0.184558	-2.21684	-1.73875	0.03	0.578643	no
XLOC_001730	Ccdc38	0.0605741	0.0510414	0.0240236	0	NOTEST	0.0558078	0.0120118	-2.21601	0	1	1	no
XLOC_001967	E030030I06Rik	0.71171	0	0	0.154611	NOTEST	0.355855	0.0773055	-2.20265	0	1	1	no
XLOC_005937	Tmem171	0.257993	0.0630401	0	0.0698252	NOTEST	0.160516	0.0349126	-2.2009	0	1	1	no
XLOC_014829	Masp2	3.77955	1.91207	0.838691	0.399444	OK	2.84581	0.619068	-2.20067	-0.582427	0.35715	0.964224	no
XLOC_014284	Dnaic1	0.294115	0.0603035	0.0774835	0	NOTEST	0.177209	0.0387418	-2.19349	0	1	1	no
XLOC_019093	Rassf10	0.897706	1.92275	0.542284	0.0797609	OK	1.41023	0.311022	-2.18084	-1.88277	0.03	0.578643	no
XLOC_013209	Vmn2r1	0.0882072	0.249791	0	0.0749678	NOTEST	0.168999	0.0374839	-2.17267	0	1	1	no
XLOC_017703	Wnt2	0	0.198861	0	0.0441091	NOTEST	0.0994305	0.0220545	-2.17261	0	1	1	no
XLOC_011382	Dlx1	1.8071	12.1585	1.46667	1.6551	OK	6.98278	1.56089	-2.16144	-1.30097	0.1311	0.8723	no
XLOC_006593	Otx2	0.149517	0.469612	0	0.14021	NOTEST	0.309564	0.0701051	-2.14265	0	1	1	no
XLOC_017514	Nanog	0.213704	0.236946	0.0389441	0.0635849	NOTEST	0.225325	0.0512645	-2.13598	0	1	1	no
XLOC_010495	Ifit1	5.79554	3.56133	1.354	0.780833	OK	4.67844	1.06742	-2.1319	-2.72797	0.0013	0.132652	no
XLOC_012663	Actc1	0	0.28661	0	0.0654436	NOTEST	0.143305	0.0327218	-2.13076	0	1	1	no
XLOC_006251	Tssk4	0.299207	0.464985	0	0.174496	NOTEST	0.382096	0.0872482	-2.13074	0	1	1	no
XLOC_020945	Hsd11b2	0.19544	0.449131	0.111977	0.0353265	NOTEST	0.322286	0.0736517	-2.12955	0	1	1	no
XLOC_011558	Rag2	0.0648387	0	0	0.0150067	NOTEST	0.0324194	0.00750333	-2.11125	0	1	1	no
XLOC_018417	Ccdc8	0.858269	2.00299	0.380114	0.282422	OK	1.43063	0.331268	-2.11058	-1.63577	0.03585	0.615528	no
XLOC_014986	1110017D15Rik	3.69778	3.41614	0.468746	1.18357	OK	3.55696	0.826159	-2.10615	-1.16067	0.02735	0.564534	no
XLOC_008566	Smoc2	0.696275	0.376915	0.204809	0.0447757	NOTEST	0.536595	0.124792	-2.10431	0	1	1	no
XLOC_015898	Thegl	0.241696	0	0	0.0563508	NOTEST	0.120848	0.0281754	-2.10068	0	1	1	no
XLOC_011261	Sh2d3c	0.703639	3.17941	0.515522	0.391854	OK	1.94152	0.453688	-2.09742	-1.95014	0.02135	0.531775	no
XLOC_000512	Adcy10	0	0.072558	0	0.0170026	NOTEST	0.036279	0.00850129	-2.09338	0	1	1	no
XLOC_022686	Paqr5	0.396441	0.550784	0.187397	0.0360781	NOTEST	0.473613	0.111738	-2.08359	0	1	1	no
XLOC_013585	Gbp3	22.4554	11.1224	3.26724	4.65774	OK	16.7889	3.96249	-2.08302	-4.38937	5.00E-05	0.0131802	yes
XLOC_003890	Gm15698	0.150727	0.57684	0.171943	0	NOTEST	0.363784	0.0859713	-2.08115	0	1	1	no
XLOC_022931	Trim71	0.241222	0.112436	0.0311068	0.0528098	NOTEST	0.176829	0.0419583	-2.07533	0	1	1	no
XLOC_009282	Spdef	0.11996	0.496395	0	0.146337	NOTEST	0.308177	0.0731684	-2.07447	0	1	1	no
XLOC_012358	Dlx2	4.77319	31.4359	3.76751	4.83547	OK	18.1045	4.30149	-2.07344	-1.39737	0.1282	0.867914	no
XLOC_012600	Cd44	0.309649	0.353078	0.0548415	0.103897	NOTEST	0.331364	0.0793692	-2.06176	0	1	1	no
XLOC_012106	Cubn	0.161454	0.0532853	0.00661321	0.0449966	NOTEST	0.10737	0.0258049	-2.05687	0	1	1	no
XLOC_013675	Tmem212	0.529656	0.148327	0	0.163831	NOTEST	0.338992	0.0819153	-2.04905	0	1	1	no
XLOC_001021	Cd55	0.655996	0.194384	0.157204	0.0493518	NOTEST	0.42519	0.103278	-2.04158	0	1	1	no
XLOC_024085	Uty	0.227057	1.20204	0.0523484	0.297379	NOTEST	0.714549	0.174864	-2.0308	0	1	1	no
XLOC_008829	Ly6g6e	0.077622	0.163092	0	0.0591361	NOTEST	0.120357	0.0295681	-2.02521	0	1	1	no
XLOC_008720	Scube3	0.522417	0	0	0.128955	NOTEST	0.261208	0.0644775	-2.01833	0	1	1	no
XLOC_002354	Irak3	0	0.272491	0.0672717	0	NOTEST	0.136246	0.0336358	-2.01814	0	1	1	no
XLOC_016109	Oas1b	2.78276	1.57058	0.873535	0.20886	OK	2.17667	0.541198	-2.0079	-1.75059	0.0428	0.646223	no
XLOC_020822	1700067K01Rik	0.214695	0.165497	0	0.0946754	NOTEST	0.190096	0.0473377	-2.00567	0	1	1	no
XLOC_010632	Eno4	0	0.432947	0.0412459	0.0665867	NOTEST	0.216473	0.0539163	-2.00539	0	1	1	no
XLOC_023146	Xpnpep2	0.365521	0.331752	0.0454377	0.130083	NOTEST	0.348637	0.0877605	-1.99008	0	1	1	no
XLOC_009202	Prss41	0.50648	1.13749	0.0971897	0.317234	OK	0.821987	0.207212	-1.98801	-1.04558	0.17915	0.88758	no
XLOC_013839	Rhbg	0.136429	0.0724226	0.0526558	0	NOTEST	0.104426	0.0263279	-1.98781	0	1	1	no
XLOC_021747	Npsr1	0.116006	0.0500667	0.022841	0.0192875	NOTEST	0.0830362	0.0210643	-1.97894	0	1	1	no
XLOC_017502	Usp18	38.2994	21.3831	9.11087	6.05415	OK	29.8412	7.58251	-1.97656	-4.65695	5.00E-05	0.0131802	yes
XLOC_000530	1700015E13Rik	0.44812	0	0	0.113903	NOTEST	0.22406	0.0569516	-1.97608	0	1	1	no
XLOC_010899	Myof	0.0561878	0.142838	0.0267962	0.0239024	NOTEST	0.0995129	0.0253493	-1.97294	0	1	1	no
XLOC_006686	Cbln3	0	0.190659	0	0.0488528	NOTEST	0.0953297	0.0244264	-1.96449	0	1	1	no
XLOC_003260	Kif19a	0.464113	0.281408	0	0.191422	NOTEST	0.372761	0.095711	-1.96149	0	1	1	no
XLOC_004541	Tshr	0.402198	0.468964	0.0712291	0.153711	NOTEST	0.435581	0.11247	-1.9534	0	1	1	no
XLOC_013303	She	0	0.32778	0	0.08533	NOTEST	0.16389	0.042665	-1.9416	0	1	1	no
XLOC_022387	Naalad2	0.133422	0.229255	0.0637762	0.0308073	NOTEST	0.181338	0.0472918	-1.93902	0	1	1	no
XLOC_020033	B3gnt6	0.595292	0.0770954	0	0.175405	NOTEST	0.336194	0.0877024	-1.93861	0	1	1	no
XLOC_010676	Peli3	0.951006	1.09574	0.435635	0.103594	OK	1.02337	0.269615	-1.92436	-1.17426	0.15085	0.872802	no
XLOC_003975	Ccr7	0.102126	0.236309	0	0.0892286	NOTEST	0.169218	0.0446143	-1.9233	0	1	1	no
XLOC_001319	Hsd11b1	1.09832	0.788943	0.151753	0.349483	OK	0.943633	0.250618	-1.91274	-1.08846	0.13595	0.872802	no
XLOC_017164	Clcn1	0.196556	0.122631	0.025676	0.0595797	NOTEST	0.159593	0.0426278	-1.90453	0	1	1	no
XLOC_001097	Prg4	0.223445	0.0661413	0.0381839	0.039428	NOTEST	0.144793	0.0388059	-1.89964	0	1	1	no
XLOC_002982	Slfn5	0.216514	0.214727	0.0948204	0.0215277	NOTEST	0.215621	0.058174	-1.89005	0	1	1	no
XLOC_002304	Lrriq1	0.0997682	0.194458	0.0793976	0	NOTEST	0.147113	0.0396988	-1.88976	0	1	1	no
XLOC_008851	Cdsn	0	0.220926	0	0.0599014	NOTEST	0.110463	0.0299507	-1.8829	0	1	1	no
XLOC_002775	Myh3	0.272667	0.333877	0	0.16532	NOTEST	0.303272	0.0826598	-1.87535	0	1	1	no
XLOC_011984	Pard6b	1.52056	0.794816	0.252331	0.381833	OK	1.15769	0.317082	-1.86832	-1.52781	0.0636	0.732123	no
XLOC_017249	Aqp1	0.107748	0.285432	0.0631568	0.045442	NOTEST	0.19659	0.0542994	-1.85618	0	1	1	no
XLOC_013180	Smad9	0.261441	0.130506	0.108408	0	NOTEST	0.195973	0.0542038	-1.85419	0	1	1	no
XLOC_024004	Gja6	0	0.134525	0.037357	0	NOTEST	0.0672627	0.0186785	-1.84843	0	1	1	no
XLOC_012125	Enkur	0.262348	0.3926	0	0.181917	NOTEST	0.327474	0.0909587	-1.8481	0	1	1	no
XLOC_009726	Ttr	13.9158	62.5952	15.5086	5.79676	OK	38.2555	10.6527	-1.84445	-3.95227	5.00E-05	0.0131802	yes
XLOC_000062	Amer3	0.173252	0.683102	0.0816251	0.157457	NOTEST	0.428177	0.119541	-1.8407	0	1	1	no
XLOC_017759	Fam180a	0.464682	4.75453	0.986198	0.475935	OK	2.6096	0.731067	-1.83576	-1.82206	0.026	0.553967	no
XLOC_017793	Trpv6	0.14175	0.0410215	0.0278833	0.023453	NOTEST	0.0913858	0.0256682	-1.83199	0	1	1	no
XLOC_002760	Trim16	0.174046	0.265423	0	0.123466	NOTEST	0.219735	0.061733	-1.83165	0	1	1	no
XLOC_021762	Prdm10	1.0155	0.307644	0.199636	0.173057	NOTEST	0.661573	0.186347	-1.82791	0	1	1	no
XLOC_022613	Layn	0.71932	0.609651	0.121472	0.255438	NOTEST	0.664486	0.188455	-1.81802	0	1	1	no
XLOC_013961	Hist2h4	3.19121	1.16673	0	1.2398	OK	2.17897	0.6199	-1.81354	-0.911909	0.34395	0.960763	no
XLOC_009907	Sh3tc2	0.75039	0.176183	0.154293	0.109586	NOTEST	0.463287	0.13194	-1.81203	0	1	1	no
XLOC_006320	Gm5464	0.282067	0.21069	0.0678985	0.0724505	NOTEST	0.246378	0.0701745	-1.81186	0	1	1	no
XLOC_003778	Rph3al	0.407162	0.271467	0	0.193622	NOTEST	0.339315	0.0968108	-1.80938	0	1	1	no
XLOC_002629	Flt4	0.199346	0.0917196	0.0831633	0	NOTEST	0.145533	0.0415816	-1.80733	0	1	1	no
XLOC_008086	Clic6	0.40106	0.620873	0.176868	0.116249	NOTEST	0.510967	0.146558	-1.80175	0	1	1	no
XLOC_020705	Ddx60	2.47419	1.72159	0.616611	0.590563	OK	2.09789	0.603587	-1.7973	-2.59742	0.00065	0.0856714	no
XLOC_023959	Amot	0.828222	0.135159	0.0741668	0.203657	NOTEST	0.481691	0.138912	-1.79394	0	1	1	no
XLOC_005348	Gm5084	0	0.0761459	0	0.02208	NOTEST	0.0380729	0.01104	-1.78603	0	1	1	no
XLOC_006797	Fgf17	0.476809	0.169798	0	0.187498	NOTEST	0.323303	0.0937491	-1.78601	0	1	1	no
XLOC_017910	Smyd1	0	0.0709175	0	0.0205901	NOTEST	0.0354588	0.0102951	-1.78419	0	1	1	no
XLOC_004202	St6galnac2	1.21264	0.380389	0	0.463564	NOTEST	0.796516	0.231782	-1.78094	0	1	1	no
XLOC_024086	Ddx3y	1.11385	4.09217	0.551084	0.966867	OK	2.60301	0.758975	-1.77806	-2.69246	0.0017	0.149376	no
XLOC_008973	Unc5cl	0	0.126995	0.0371251	0	NOTEST	0.0634976	0.0185625	-1.77431	0	1	1	no
XLOC_001982	Arg1	1.68517	1.1973	0	0.844646	OK	1.44124	0.422323	-1.77089	-1.13259	0.14375	0.872802	no
XLOC_010366	Vwce	0.447128	0.487959	0.173107	0.100924	NOTEST	0.467544	0.137015	-1.77076	0	1	1	no
XLOC_017378	Gata2	0.0339472	0.235279	0.0789098	0	NOTEST	0.134613	0.0394549	-1.77054	0	1	1	no
XLOC_000369	AA986860	1.26256	0.852465	0.284806	0.335995	OK	1.05751	0.310401	-1.76847	-1.6181	0.0271	0.563974	no
XLOC_010336	1700092M07Rik	0.701436	3.69926	0	1.30195	OK	2.20035	0.650974	-1.75706	-0.907497	0.35035	0.962227	no
XLOC_014721	Cnr2	0	0.230122	0.0682743	0	NOTEST	0.115061	0.0341372	-1.75298	0	1	1	no
XLOC_021238	Cldn23	2.90331	0.852404	0.936932	0.178251	OK	1.87786	0.557592	-1.75181	-1.34506	0.06995	0.751305	no
XLOC_013404	Hist2h2bb	2.34885	3.47167	0.437309	1.29646	OK	2.91026	0.866887	-1.74723	-0.880643	0.2194	0.909641	no
XLOC_010839	Anxa1	2.03518	0.967464	0.397182	0.497245	OK	1.50132	0.447214	-1.7472	-1.30819	0.0758	0.773466	no
XLOC_001330	Plekhg1	0.596771	0.689642	0.198439	0.184836	NOTEST	0.643207	0.191638	-1.7469	0	1	1	no
XLOC_010484	Papss2	1.16818	0.718217	0.347523	0.214635	OK	0.9432	0.281079	-1.74659	-1.73179	0.03225	0.592366	no
XLOC_006665	Myh6	0.1151	0.0147163	0.0387691	0	NOTEST	0.0649079	0.0193845	-1.74349	0	1	1	no
XLOC_000415	Ptpn7	0.230804	0.172837	0.120553	0	NOTEST	0.201821	0.0602767	-1.7434	0	1	1	no
XLOC_010891	Htr7	0	0.182464	0	0.0545258	NOTEST	0.0912322	0.0272629	-1.7426	0	1	1	no
XLOC_024041	Kdm5d	0.0933255	2.5084	0.376141	0.401635	OK	1.30086	0.388888	-1.74204	-2.17386	0.0079	0.344685	no
XLOC_006453	Fezf2	0.0513573	0.498522	0.118629	0.046213	NOTEST	0.27494	0.0824211	-1.73803	0	1	1	no
XLOC_013078	Chmp4c	0	0.180562	0	0.0542747	NOTEST	0.0902812	0.0271373	-1.73415	0	1	1	no
XLOC_017558	Fgf23	0.198993	0.221814	0.0775033	0.049062	NOTEST	0.210404	0.0632827	-1.73328	0	1	1	no
XLOC_009114	Ezr	3.37922	6.28168	1.65321	1.25582	OK	4.83045	1.45451	-1.73162	-2.6783	7.00E-04	0.088571	no
XLOC_007564	Cyp2d22	0.500219	0.272553	0.162564	0.0704075	NOTEST	0.386386	0.116486	-1.72989	0	1	1	no
XLOC_010115	Mcc	0.218599	0.0507049	0	0.0816129	NOTEST	0.134652	0.0408064	-1.72237	0	1	1	no
XLOC_009593	Efna5	0.23302	0.109133	0.0171058	0.0866242	NOTEST	0.171077	0.051865	-1.72181	0	1	1	no
