Gene	Whole	Sample1	Sample2	Exp1	Exp2	Pvalue	Qvalue	OPC	NFOL	MOL
C1qb	"complement component 1, q subcomponent, beta polypeptide"	Control	Brg1_iko	47.4362	165.955	5e-05	0.0131802	0	0	0
C1qc	"complement component 1, q subcomponent, C chain"	Control	Brg1_iko	59.1139	169.243	5e-05	0.0131802	0	0	0
C1qa	"complement component 1, q subcomponent, alpha polypeptide"	Control	Brg1_iko	31.6632	86.5444	5e-05	0.0131802	0	0	0
Vwa1	von Willebrand factor A domain containing 1	Control	Brg1_iko	12.7502	23.4309	0.0002	0.0408161	0	0	0
Insig1	insulin induced gene 1	Control	Brg1_iko	56.8488	28.6803	5e-05	0.0131802	0	0	0
Dpysl5	dihydropyrimidinase-like 5	Control	Brg1_iko	8.36038	3.67292	5e-05	0.0131802	0	0	0
Crmp1	collapsin response mediator protein 1	Control	Brg1_iko	132.883	80.0823	5e-05	0.0131802	0	0	0
N4bp2	NEDD4 binding protein 2	Control	Brg1_iko	5.98519	2.48807	5e-05	0.0131802	0	0	0
Tmem132b	transmembrane protein 132B	Control	Brg1_iko	26.49	13.6356	5e-05	0.0131802	1	1	0
Kdelr2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	Control	Brg1_iko	42.2917	72.9423	0.00025	0.0486654	0	0	0
Rasl11a	"RAS-like, family 11, member A"	Control	Brg1_iko	133.704	235.679	0.0001	0.0238736	0	0	0
Hopx	HOP homeobox	Control	Brg1_iko	27.5048	77.3848	5e-05	0.0131802	0	0	0
Ncor2	nuclear receptor co-repressor 2	Control	Brg1_iko	14.4787	6.80772	5e-05	0.0131802	0	0	0
Bhlhe40	"basic helix-loop-helix family, member e40"	Control	Brg1_iko	10.053	21.908	5e-05	0.0131802	0	0	0
Usp18	ubiquitin specific peptidase 18	Control	Brg1_iko	29.8412	7.58251	5e-05	0.0131802	0	0	0
Ctsc	cathepsin C	Control	Brg1_iko	6.8195	17.1275	5e-05	0.0131802	0	0	0
Zfp36	zinc finger protein 36	Control	Brg1_iko	19.1443	47.2131	5e-05	0.0131802	0	0	0
Crym	"crystallin, mu"	Control	Brg1_iko	1.08464	0	0.0002	0.0408161	0	0	0
Igf2	insulin-like growth factor 2	Control	Brg1_iko	17.2701	31.5792	0.00025	0.0486654	1	0	0
D8Ertd82e	"DNA segment, Chr 8, ERATO Doi 82, expressed"	Control	Brg1_iko	15.4293	6.46251	5e-05	0.0131802	0	0	0
Pard3	par-3 (partitioning defective 3) homolog (C. elegans)	Control	Brg1_iko	20.3993	10.1991	5e-05	0.0131802	0	0	0
Smarca4	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	Control	Brg1_iko	35.8537	14.5068	5e-05	0.0131802	0	0	0
Rpl29	ribosomal protein L29	Control	Brg1_iko	92.8668	257.556	5e-05	0.0131802	0	0	0
Nrgn	neurogranin	Control	Brg1_iko	13.8314	43.2096	5e-05	0.0131802	0	0	0
